acc,region_id,start,end,region_length,overlap_fraction,d2o_label,n_regions_in_protein,cluster
P37837,DP04027r001,1,10,10,0.0,0,1,810
O15431,DP04033r001,1,52,52,1.0,1,1,1026
Q9Y4B6,DP04062r001,1486,1499,14,0.0,0,1,66
Q9H078,DP04067r001,208,227,20,0.0,0,1,348
Q9Y6X9,DP04074r001,551,603,53,0.0,0,1,167
Q9Y2M5,DP04075r001,303,316,14,0.0,0,1,433
Q9ULK4,DP04080r001,1335,1368,34,0.0,0,1,90
Q9UIW2,DP04081r001,25,38,14,0.0,0,1,38
Q9BPU6,DP04083r001,493,564,72,0.0,0,1,478
P54577,DP04086r001,343,364,22,0.0,0,1,523
P35219,DP04094r001,1,22,22,0.0,0,1,868
P49758,DP04095r001,453,470,18,0.0,0,1,576
O00584,DP04100r001,215,234,20,0.0,0,1,912
O43747,DP04105r001,677,699,23,0.0,0,1,267
P52306,DP04108r001,61,78,18,0.0,0,1,434
Q15326,DP04109r001,172,195,24,0.0,0,1,440
Q96C36,DP04111r001,274,300,27,0.0,0,1,827
Q8NFJ9,DP04113r001,1,20,20,0.0,0,1,453
A0A0C4DGY3,DP04114r001,78,180,103,0.0,0,1,559
Q01105,DP04119r001,168,188,21,0.0,0,1,869
O14775,DP04120r001,1,56,56,0.0,0,1,735
P06702,DP04125r001,87,114,28,0.0,0,1,1121
O43561,DP04137r001,30,233,204,0.0,0,1,905
P28749,DP04155r001,612,687,76,0.0,0,1,149
Q96B97,DP04156r001,163,263,101,0.1386138613861386,0,1,381
O00418,DP04157r001,562,597,36,0.0,0,1,335
Q9BX66,DP04158r001,851,867,17,0.0,0,1,103
O94885,DP04164r001,396,564,169,0.0,0,1,113
P49748,DP04188r001,486,518,33,0.0,0,1,390
Q9H4H8,DP04220r001,380,448,69,0.0,0,1,461
Q8N5K1,DP04237r001,57,72,16,0.0,0,1,1091
Q9NX24,DP04252r001,1,22,22,0.0,0,1,1069
Q9H9Q4,DP04259r001,229,299,71,0.0,0,1,859
P04792,DP04262r001,178,205,28,0.0,0,1,997
P18848,DP04263r001,1,275,275,0.0,0,1,793
Q9NPD8,DP04267r001,157,197,41,0.0,0,1,1016
Q9Y2G2,DP04274r001,1,162,162,0.0,0,1,513
Q13613,DP04276r001,1,94,94,0.0,0,1,380
Q8N465,DP04277r001,1,51,51,0.0,0,1,536
Q9UMY1,DP04278r001,1,94,94,0.0,0,1,911
P68431,DP04281r001,1,38,38,0.0,0,1,1089
Q9UK59,DP04285r001,394,544,151,0.0,0,1,506
Q9NPJ4,DP04297r001,1,101,101,0.0,0,1,1087
Q969S2,DP04324r001,56,129,74,0.0,0,1,815
O95714,DP04325r001,4793,4834,42,0.0,0,1,2
P28360,DP04347r011,1,172,172,0.0,0,1,851
Q96PD5,DP04348r003,164,208,45,0.0,0,1,473
Q8N114,DP04349r003,126,240,115,0.0,0,1,932
